food_item,image_found,image_processed,uploaded,drive_link
Chicken KL Special Biryani,True,True,True,https://drive.google.com/file/d/1SFuaYGY_O5sQSbZFTUkkSM839vOp7n25/view?usp=drivesdk
Mushroom Handi Kadai Paneer 65,True,True,True,https://drive.google.com/file/d/1pjG19alR6k_rHY-SAusqEvWOTl9D9h78/view?usp=drivesdk
Corn Cheese Balls,True,True,True,https://drive.google.com/file/d/1wKSBAN4lBUq-rDsqfuI5dHW8GAojv-lX/view?usp=drivesdk
Paratha,True,True,True,https://drive.google.com/file/d/1y4W1UqSBg7xdjZYfUSMihA0lOdG-rfcX/view?usp=drivesdk
Veg Burnt Chilli Garlic Fried Rice,True,True,True,https://drive.google.com/file/d/1p790Pylvp9thI1J8WByYGWT5Um9J4bqA/view?usp=drivesdk
Butter Paratha,True,True,True,https://drive.google.com/file/d/1DYRjHSwE6UqUJVBbdmsh1jmddAnCCQld/view?usp=drivesdk
Paneer Hyderabadi Biryani,True,True,True,https://drive.google.com/file/d/1jEAq5xR5tcV-tp880R3JuNrhITO-nX00/view?usp=drivesdk
Veg KL Special Biryani,True,True,True,https://drive.google.com/file/d/1vVviVOKCtX49yskD1LaT6v594WGMb_QL/view?usp=drivesdk
Veg Hong Kong Fried Rice,True,True,True,https://drive.google.com/file/d/1knHkIUb5jQlKXiZEH36L_zO8Ro2nRFgO/view?usp=drivesdk
Chicken Hot Garlic,True,True,True,https://drive.google.com/file/d/1XAVnQVtSG_BLMSqHmfVvws4kI-iMpjNr/view?usp=drivesdk
Veg Hyderabadi Biryani,True,True,True,https://drive.google.com/file/d/1bxzXl1OH60aCRNizEBlXFwQje3J1B6h1/view?usp=drivesdk
Veg Kadai,True,True,True,https://drive.google.com/file/d/1Ppun3sfAcHdlUjQGH3jJ7rxsE9naORjy/view?usp=drivesdk
Mutton Rogan Josh,True,True,True,https://drive.google.com/file/d/1ft-CorTuAv09DIZTIBsGRnwPb0ZOw5Uw/view?usp=drivesdk
Veg Schezwan Fried Rice,True,True,True,https://drive.google.com/file/d/16vWqLzFc44U0CR84iAaqBbb1x5xL0CuZ/view?usp=drivesdk
Veg Lollipop,True,True,True,https://drive.google.com/file/d/1_8yQpgAJocssSajKMB-OEuA1nsEloiTb/view?usp=drivesdk
Dal Palak Khichdi Paneer Matar,True,True,True,https://drive.google.com/file/d/1LGOn9Xr7IEMYZ2R8JNmG79cJRrri2lYX/view?usp=drivesdk
Chicken Tawa Masala,True,True,True,https://drive.google.com/file/d/1ZjR3IEKAsL290TXw7rUV7lCQw_1GCJqk/view?usp=drivesdk
Chicken Lollipop Masala Gravy,True,True,True,https://drive.google.com/file/d/118qRwDIiPtzyPLiEuYg6s8-mVl3fZX1e/view?usp=drivesdk
Chicken Green Masala,True,True,True,https://drive.google.com/file/d/10jegvHl7PNZJvVggo-if1EV0kzfA6pKc/view?usp=drivesdk
Veg Manchurian Fried Rice,True,True,True,https://drive.google.com/file/d/13onq-NH52xa9h2I0rhEul2oWJcjJLE2m/view?usp=drivesdk
Veg Hakka Noodles,True,True,True,https://drive.google.com/file/d/1O_GZpW1o759BS-ki7CUfSDC1MMRO8Gs9/view?usp=drivesdk
Chicken Pahadi Kebab,True,True,True,https://drive.google.com/file/d/1WKAoUkPPRETrzOQSDqOvMwqHxK9JWl4J/view?usp=drivesdk
Fingers Chips Veg Diwani Handi,True,True,True,https://drive.google.com/file/d/1WUNtN7f6mPDNEroE_ntR6a2oSNcVvmgA/view?usp=drivesdk
Chicken Manchow Soup,True,True,True,https://drive.google.com/file/d/1U8RD3gEGwG9n3vIkUveUO415zQQgUN0r/view?usp=drivesdk
Mushroom Tikka Biryani,True,True,True,https://drive.google.com/file/d/1RR2NOpvcC4jClBPkQ8ZwUR8FWShM3bDP/view?usp=drivesdk
Chicken Manchurian Fried Rice,True,True,True,https://drive.google.com/file/d/1C70P08PXF-N3T0Qcapju2h28wqLvNpi1/view?usp=drivesdk
Chicken Dum Biryani,True,True,True,https://drive.google.com/file/d/1Rd2YKWFJZP-1GiRHWuLYZ3ytGpRiLJcl/view?usp=drivesdk
Chicken Do Pyaaza,True,True,True,https://drive.google.com/file/d/1Yuwp2qC5DVgBHQDUvlkgT-jHYiESiDDF/view?usp=drivesdk
Chicken Chopper Fried Rice,True,True,True,https://drive.google.com/file/d/1POSXhE19UcdJTsS2R46eMCI2sDDb4Yt5/view?usp=drivesdk
Chicken Kadai Mushroom Chilli,True,True,True,https://drive.google.com/file/d/1ADcZNy43uNlUAokmKiny08qIeJU3m-cS/view?usp=drivesdk
Chicken Liver Oil Fry,True,True,True,https://drive.google.com/file/d/12jGVQP45C_NG0G_Hs1e8p2B-8W45y7Tk/view?usp=drivesdk
Mutton Clear Soup,True,True,True,https://drive.google.com/file/d/1dzFGaVaik2gUHHXQ0fLn2GG6M2s_bRgE/view?usp=drivesdk
Paneer Handi Chicken Masala,True,True,True,https://drive.google.com/file/d/1zei9Cq7Ckp8_L2v-zoCpx2BsvEwnywS_/view?usp=drivesdk
Dal Khichdi,True,True,True,https://drive.google.com/file/d/1x-QtmYAPnM6vRboDRvFaT9iOqLiJmRcQ/view?usp=drivesdk
Chicken Banjara Kebab,True,True,True,https://drive.google.com/file/d/17BRxkSctr-vD5pmulQ4GfsGLEQx4cF5S/view?usp=drivesdk
Veg Pulao,True,True,True,https://drive.google.com/file/d/1PDB17-ma124EdCatCv8qqlKROwnndXY7/view?usp=drivesdk
Butter Garlic Naan,True,True,True,https://drive.google.com/file/d/14VehxO_bIwaxtUeGU-8t-S6HsLWyQhDh/view?usp=drivesdk
Chicken Kalimiri Tandoori,True,True,True,https://drive.google.com/file/d/1NcbUki6C8mnqsIRogBCBjOk3BsF0FWEe/view?usp=drivesdk
Veg Fried Rice Dal Khichdi Tadka,True,True,True,https://drive.google.com/file/d/1AM62z66K_8pX-BnyciOWwffzipcIWpg_/view?usp=drivesdk
Chicken Manchow Soup Chicken Biryani Boneless,True,True,True,https://drive.google.com/file/d/1FzHdhY9lgfBuHX-Ng51P_Pn7AFrQjXfj/view?usp=drivesdk
Veg Manchow Soup,True,True,True,https://drive.google.com/file/d/1VxGjxjbpvfjFfYPxE_oha9W-ehL_nqRy/view?usp=drivesdk
Butter Naan,True,True,True,https://drive.google.com/file/d/1P927lW5w7juXoxVRsT8tdoeTPbUEwokO/view?usp=drivesdk
Chicken Kala Masala,True,True,True,https://drive.google.com/file/d/1PUuVGYzEUPAEvcfAlSuF86tNhbB-FNXD/view?usp=drivesdk
Chicken Crispy,True,True,True,https://drive.google.com/file/d/11DEiueg52ajJ8auZ205j9AzENfJVYjez/view?usp=drivesdk
Veg Kolhapuri Chicken Chilli,True,True,True,https://drive.google.com/file/d/1LxJGR-eXK7FjRVtIFJeQ-6Z8NgY53vKG/view?usp=drivesdk
Veg Crispy,True,True,True,https://drive.google.com/file/d/1kWUCNMTPe6ymB7NO4NR8ZarHt24KeKG2/view?usp=drivesdk
Veg Biryani,True,True,True,https://drive.google.com/file/d/1bloIMcn5KYrfIlP6q9-l5hIqIJ2VNDHj/view?usp=drivesdk
Chicken Tikka Masala,True,True,True,https://drive.google.com/file/d/1ZCVyy2ncdNUuibptGM3DJR7Y7iPai59L/view?usp=drivesdk
Paneer ChillI,True,True,True,https://drive.google.com/file/d/1ePXqKGRxNwUhM8wU1RzWb9II9TUCiTuZ/view?usp=drivesdk
Dal Fry,True,True,True,https://drive.google.com/file/d/1TiPlc8A0Dde_BII9-TpBkjv4f5IuK-M1/view?usp=drivesdk
Chicken Lollipop Masala Dry,True,True,True,https://drive.google.com/file/d/13xb-N0LL15vujcRucNj-BTMPHTCIZ_w0/view?usp=drivesdk
Veg Hyderabadi Biryani Chicken Pahadi Kebab,True,True,True,https://drive.google.com/file/d/1J-b2GrcockC7j-JQyMXr3LfE_vxkznbf/view?usp=drivesdk
Egg Chilli,True,True,True,https://drive.google.com/file/d/19gJZ1KMyrGmYIA9L3fJR-LHyAwpJlkut/view?usp=drivesdk
Mushroom Masala Chicken Kolhapuri,True,True,True,https://drive.google.com/file/d/1tc8JRNTEuPdXZtvXFv_7tcaK8twfervd/view?usp=drivesdk
Paneer Kadai,True,True,True,https://drive.google.com/file/d/1uNdwKsLfBLOjJa1ARSF66T3jQ76n9gs0/view?usp=drivesdk
Chicken Chopper Fried Rice Chicken Biryani,True,True,True,https://drive.google.com/file/d/1ibJhEd5Ftq0mmRVBBQT6I9nm0cpFCSAp/view?usp=drivesdk
Dal Palak Khichdi,True,True,True,https://drive.google.com/file/d/1ORGsNPv4pw2tenkg68ogpzXYZvPzYWc-/view?usp=drivesdk
Paneer Palak,True,True,True,https://drive.google.com/file/d/1_asLv3MXdCTR8L11UH_9VPzVrFlizOOz/view?usp=drivesdk
Chana Masala Corn Cheese Balls,True,True,True,https://drive.google.com/file/d/1avcp0m8Ua77nCeI2BvGW9M9RWfoM4pb1/view?usp=drivesdk
Paneer Handi Mushroom Chilli,True,True,True,https://drive.google.com/file/d/1FSK9GhSRKvRRsWLweQ1vo-OcWxJCVm1O/view?usp=drivesdk
Egg Triple Fried Rice,True,True,True,https://drive.google.com/file/d/11AO9eEzO9jy09gULOgP27qxoMs2d-7Zy/view?usp=drivesdk
Chicken Butter Garlic,True,True,True,https://drive.google.com/file/d/18ianRQWG8DhDI4VIDxKYSKccgZ-ZMftg/view?usp=drivesdk
Egg Half Fry Chicken Garlic,True,True,True,https://drive.google.com/file/d/1W5jt10TAaPgmVGVLdCBpC3Ot-_QqYG95/view?usp=drivesdk
Veg Singapuri Noodles,True,True,True,https://drive.google.com/file/d/1MaPT8M-T805UnHyIdsJRZnRhaptMcjEi/view?usp=drivesdk
Steamed Rice [Half],True,True,True,https://drive.google.com/file/d/1FJ6pDYWA7mF00IyGkM-O2BIRIUyTKvwY/view?usp=drivesdk
Egg Bhurji,True,True,True,https://drive.google.com/file/d/10Fq879-9xMgTYUY9u7enLQoDnpXJSQmx/view?usp=drivesdk
Veg Combination Fried Rice,True,True,True,https://drive.google.com/file/d/1BQ5RilxedNdQZSU-temCn5rZOrpR2TSn/view?usp=drivesdk
Paneer Matar,True,True,True,https://drive.google.com/file/d/1NYnMYvrp8LwTb731rb3iy4XVWDA1_mBY/view?usp=drivesdk
Mushroom Handi Kadai,True,True,True,https://drive.google.com/file/d/1Le3xvhte1fMNzstDphOshOCh3JDN9cLR/view?usp=drivesdk
Kaju Masala,True,True,True,https://drive.google.com/file/d/1JKow2kEVpk3tqy6GF_JF7BHS4C51I6Vh/view?usp=drivesdk
Chicken Seekh Kebab,True,True,True,https://drive.google.com/file/d/1Wk28lV0VjkXUK-EqvaAJ_aJlpivpxbsZ/view?usp=drivesdk
Veg KL Special Soup,True,True,True,https://drive.google.com/file/d/1Gg5JQtJkIzn0iGcybwqnVeYhLxJj1daM/view?usp=drivesdk
Chicken Hot Garlic Paneer Pahadi Kebab,True,True,True,https://drive.google.com/file/d/1X0Jb0NVMAMa-aXwHAqiHkkRNAniKSs9H/view?usp=drivesdk
Egg Fried Rice,True,True,True,https://drive.google.com/file/d/1szwlMIQudwAlssvVH8ACXBnkUbGEi03z/view?usp=drivesdk
Paneer Tikka Biryani Paneer Hyderabadi Biryani,True,True,True,https://drive.google.com/file/d/1VpEDMaYqWTiPjpR_L4E1mRTAgg_HZpuz/view?usp=drivesdk
Hot and Sour Chicken Soup,True,True,True,https://drive.google.com/file/d/1DJH_TJiymBYY_02HLrLa19hwHmRptIT9/view?usp=drivesdk
Chicken Koliwada,True,True,True,https://drive.google.com/file/d/1OnrE0OgAsH1ebM8iKl-FmmxLI5FnHKSw/view?usp=drivesdk
Chicken Handi Veg Pulao,True,True,True,https://drive.google.com/file/d/1baz5-3zCybMmI28DwrWOYmJXlIiohhBx/view?usp=drivesdk
Chicken Hong Kong Noodles,True,True,True,https://drive.google.com/file/d/1wLOKzdKYdtoEM_h8chZZuZwJ3GIeFJ_K/view?usp=drivesdk
Egg Noodles Egg 65,True,True,True,https://drive.google.com/file/d/1BY-lddiiiwsRk5nhQV10taYRtYgAAklB/view?usp=drivesdk
Chicken Manchurian Soup,True,True,True,https://drive.google.com/file/d/1oGE542kgia3qo96FiH0Xxi06OZpPnqxL/view?usp=drivesdk
Veg Pot Fried Rice,True,True,True,https://drive.google.com/file/d/1wMj0zlLyUTojVdy-NN9V-_Nuzm4Bw9mL/view?usp=drivesdk
Sweet Corn Veg Soup,True,True,True,https://drive.google.com/file/d/1UTtlZgPbdr27TzA2Zbb9CvHAcnw4SJwU/view?usp=drivesdk
Chicken Hyderabadi Biryani,True,True,True,https://drive.google.com/file/d/1Cuu302uu5cLEFFkpUqerNkMGsyoDijMp/view?usp=drivesdk
Veg Lahori Masala,True,True,True,https://drive.google.com/file/d/1mqXM0LvPFiow42snTMCO7X7wZ70vHvTB/view?usp=drivesdk
Chicken Schezwan Noodles,True,True,True,https://drive.google.com/file/d/1MpnJhTchPeM9AH4qDdzR-SMcP09EeqBK/view?usp=drivesdk
Mutton Pepper Soup,True,True,True,https://drive.google.com/file/d/144tRcJ59jTAWlorQL6mHHsqYSQlVAIHa/view?usp=drivesdk
Chicken Popcorn,True,True,True,https://drive.google.com/file/d/1he8A5TDK6tAPHHhsa-xwP9F0oXm45IWn/view?usp=drivesdk
Chicken Kung Pao,True,True,True,https://drive.google.com/file/d/1lUpCWQ3vT51vD4a54cpXXlEfjv_ceHvJ/view?usp=drivesdk
Curd Rice,True,True,True,https://drive.google.com/file/d/1UyQ8EWyKjAwLxmqao-tbGbgv9I9Y5KEY/view?usp=drivesdk
Chicken Liver Masala Fry,True,True,True,https://drive.google.com/file/d/1JeBD0w90uwurxFqWjGqNoHweE3XIySV5/view?usp=drivesdk
Mutton Masala Mutton Kadai,True,True,True,https://drive.google.com/file/d/1cd9gun3FHw-uEEk3VpxFkvycul8CbJHg/view?usp=drivesdk
