food_item,image_found,image_processed,uploaded,drive_link
Paneer Chilli Gravy,True,True,True,https://drive.google.com/file/d/1DTPaok3YVI1TbIEXZCfK_-fgfg7qKGZ4/view?usp=drivesdk
Mushroom Butter Fry,True,True,True,https://drive.google.com/file/d/1zkT3bQS6zl7siYI4kONhekTqJpjNo0xS/view?usp=drivesdk
Mutton Manchow Soup,True,True,True,https://drive.google.com/file/d/1IfQNSBgZq9zecbVgcbgKYqruzgl1y7GC/view?usp=drivesdk
Classic Chicken Creamy Salad,True,True,True,https://drive.google.com/file/d/1ypuCIUni_pVnE9nLGZIGASNOIRJZ7_Qm/view?usp=drivesdk
Mutton Kala Masala,True,True,True,https://drive.google.com/file/d/1vi2tzvW3GK28D9qFndbe3l2-XRAOAi49/view?usp=drivesdk
Chicken Handi Chicken Lahori Masala,True,True,True,https://drive.google.com/file/d/1S_8YGpd0kSGsSEBDDUU1T1HuRhY19vHD/view?usp=drivesdk
Chicken Kolhapuri,True,True,True,https://drive.google.com/file/d/1EakfOfze_H8q10Q3ugk6sIef1LVkce4N/view?usp=drivesdk
Veg Singapuri Noodles Chicken Malai Kebab,True,True,True,https://drive.google.com/file/d/1EE1B7VVAn_aV4XwQ_oMz4GbXH6Q7J-wr/view?usp=drivesdk
Basil Paneer Tikka,True,True,True,https://drive.google.com/file/d/1PjTdjCWA_NfyGf3JtrJgBLSe7hbZCFVe/view?usp=drivesdk
Murgh Musallam,True,True,True,https://drive.google.com/file/d/1EisxvD0vjqkyKbpEU9MosCZppmR7Qca1/view?usp=drivesdk
Veg Diwani Handi,True,True,True,https://drive.google.com/file/d/1RH4KqdQu9xp3qn3N3yZleTGszut6hhIz/view?usp=drivesdk
Paneer Kolhapuri Paneer Biryani,True,True,True,https://drive.google.com/file/d/1anOOJZFN6G3mMRY9cKHHUVHQqrRa8gbv/view?usp=drivesdk
Mutton Lucknow Biryani,True,True,True,https://drive.google.com/file/d/1Rp9ZAcI23LRvddhDLvqBhZZpVHl7teWT/view?usp=drivesdk
Chicken Lung Fung Soup,True,True,True,https://drive.google.com/file/d/1wZNbtUPdIWsdLs8bM3B777xcnq3I2XwO/view?usp=drivesdk
Mutton Soup,True,True,True,https://drive.google.com/file/d/1DX6i6skk8FZDrgxooH3puXXiW3jyQAA5/view?usp=drivesdk
Paneer Lahori Masala,True,True,True,https://drive.google.com/file/d/1b2ed-ImsX6TO8X7qYbVJqnlMDYgA0BPo/view?usp=drivesdk
Chicken Green Masala Mutton Rogan Josh,True,True,True,https://drive.google.com/file/d/1tI8PJHxmz8JJxoPzB3QrdIk1FvKisrGy/view?usp=drivesdk
Veg Triple Schezwan Noodles,True,True,True,https://drive.google.com/file/d/1S2-qpuRDfX_jdmEygro32xHPpcFWPRsv/view?usp=drivesdk
Chicken Carbonara Pasta,True,True,True,https://drive.google.com/file/d/1XeUXUYftv_pieHYJuZgtkCscDkjM8YNb/view?usp=drivesdk
Chicken Lollipop Roti,True,True,True,https://drive.google.com/file/d/1eVjB8q87vsZoNBGi5wlbegfPLxFSHWYH/view?usp=drivesdk
Chicken Biryani Boneless Dal Khichdi Tadka,True,True,True,https://drive.google.com/file/d/1gmhSMSPYsGba1fXIMOgBH54lzXjqCi8f/view?usp=drivesdk
Chicken Tikka Masala Chicken Tikka Biryani,True,True,True,https://drive.google.com/file/d/1uedrSmz-Sfez76bsW31WKZ0Zr_PwYiEC/view?usp=drivesdk
Chicken Masala Boneless Veg Fried Rice,True,True,True,https://drive.google.com/file/d/1iwzKqVw9LNCgIUwOWEPK1NFdFgIItKvv/view?usp=drivesdk
Butter Kulcha,True,True,True,https://drive.google.com/file/d/1DK4ai9J6MNUzWDA-WVzjJazP5Dk4BbPe/view?usp=drivesdk
Chicken Schezwan Fried Rice Chicken Garlic,True,True,True,https://drive.google.com/file/d/1q4xG2f6Nqe5L6LGaIJEa6ZPeTDmhaVf3/view?usp=drivesdk
Mushroom Chilli,True,True,True,https://drive.google.com/file/d/11Aqdz29JJ2qKYi3PC5ldceO8KDovPuPO/view?usp=drivesdk
Chicken Lajawab,True,True,True,https://drive.google.com/file/d/1FlqvBF7VZiv4QWkt3CqClYD-B7APXtFi/view?usp=drivesdk
Veg Manchurian Chicken Tawa Masala,True,True,True,https://drive.google.com/file/d/11VAoIWEUu-cxWdTPDsFWMH0x8alBOi6W/view?usp=drivesdk
Chicken Masala Fry,True,True,True,https://drive.google.com/file/d/10t2Ox710UoIXti0DyuKpVhjlal34I3Xw/view?usp=drivesdk
Mutton Rara Masala,True,True,True,https://drive.google.com/file/d/1VDFCPPUQbhFjySXI5rXE7C_Ss-STUL9i/view?usp=drivesdk
Burnt Chilli Garlic Noodles,True,True,True,https://drive.google.com/file/d/1QhV7V5FHcqDyloYbZGumF6ZK1y-_aHoR/view?usp=drivesdk
Paneer Handi,True,True,True,https://drive.google.com/file/d/1fHydZjOkDQFQCImzbPBQlcPZnPkmrY-z/view?usp=drivesdk
Murgh Musallam Chicken Dragon,True,True,True,https://drive.google.com/file/d/1rI6k0MYYPJABgfKBaAxzLne2LkCAkVFL/view?usp=drivesdk
Veg Manchurian Fried Rice Kulcha,True,True,True,https://drive.google.com/file/d/1C5uhroFTLAvWqBHDaPjWa8oTjcZcxfiF/view?usp=drivesdk
Chicken Noodles Soup,True,True,True,https://drive.google.com/file/d/18W375UI90BCD2e-UodcHVwnDOSDG0OJ6/view?usp=drivesdk
Mutton Biryani Boneless,True,True,True,https://drive.google.com/file/d/1d1CfErPsjJ1_PahvmsRrRqdC6aDdNaua/view?usp=drivesdk
Boiled Egg Bhurji Mushroom Masala,True,True,True,https://drive.google.com/file/d/1hJBlCaxaEDWHW0yt5xW6esaNk4l4b55e/view?usp=drivesdk
Chicken Liver Oil Fry Malai Kofta,True,True,True,https://drive.google.com/file/d/15Obyn40dbIl_YF1v4CoZECgu7TKVUKlf/view?usp=drivesdk
Chicken 65,True,True,True,https://drive.google.com/file/d/1ANvnnc0WvA4hgpUA-sjy7Kepo0jK05bD/view?usp=drivesdk
Mutton Kadai,True,True,True,https://drive.google.com/file/d/1yP3F1lag4mzyl8-1G98BpsbQWPgGUlw3/view?usp=drivesdk
Veg Keema Masala,True,True,True,https://drive.google.com/file/d/1tQX03zSGGph9sdOuWizBfxyl0Hjz7LEA/view?usp=drivesdk
Chicken Kadai,True,True,True,https://drive.google.com/file/d/1Uk9Y3RhV-jIMc-hX0GKBjrTJh6k0fcW1/view?usp=drivesdk
Chicken Hunan Chilli Dry,True,True,True,https://drive.google.com/file/d/1btBlnBLY66f_E9_J6HPPUDuL57m7wsBa/view?usp=drivesdk
Chicken Tawa Fry,True,True,True,https://drive.google.com/file/d/1kZ--Ew9G-MFcBTekIyP8ZmNHEFPcC9kd/view?usp=drivesdk
Honey Chilli Potato,True,True,True,https://drive.google.com/file/d/1UB9tYLdV5khunoAEqTBj1-oFcXfqufLr/view?usp=drivesdk
Chicken Keema Masala,True,True,True,https://drive.google.com/file/d/1FTTcGjrvABcQzjcTfK3wihq-M51n8vf7/view?usp=drivesdk
Chicken Afghani Egg 65,True,True,True,https://drive.google.com/file/d/1OB0ot7pC46pTmej9e68v6GsLUZ24Ldyc/view?usp=drivesdk
Paneer 65,True,True,True,https://drive.google.com/file/d/1dCWDSJdPaLIuL5bf--FjbkRkeSz6mCJl/view?usp=drivesdk
Chicken Reshmi Kebab Chicken Pasta Salad,True,True,True,https://drive.google.com/file/d/1jzxHvKtW2byeg4OX2WCT5FpXxiB1cWEk/view?usp=drivesdk
Veg Peshawari,True,True,True,https://drive.google.com/file/d/1lcrn3AdWcCvc5VKco3yCBRPXZAqZldxy/view?usp=drivesdk
Egg Noodles,True,True,True,https://drive.google.com/file/d/1KS7o2J9Jzd60BVMqDqjEeY9nuTJSmTCx/view?usp=drivesdk
Veg Seekh Kebab,True,True,True,https://drive.google.com/file/d/1ATKQ8MvGnqgiuHB_S58SLlyqCZcc0lpN/view?usp=drivesdk
Chicken Thai Pei,True,True,True,https://drive.google.com/file/d/1ciVixoqPaDiGcRIZwIvH5vbwJum-gRt9/view?usp=drivesdk
Chicken Manchurian Gravy,True,True,True,https://drive.google.com/file/d/1EcacTKJvEdQHe6Pas_LTxy7nS9ONheCH/view?usp=drivesdk
Chicken Malai Kebab Cremote Chicken Pasta,True,True,True,https://drive.google.com/file/d/1UnwYsSlm8500vgLBs1SVFd2uqENDTRU7/view?usp=drivesdk
Paneer Hyderabadi Biryani Lucknow Chicken Biryani,True,True,True,https://drive.google.com/file/d/1syEsMuF09EITInSUp0FEpHTEdlOY50kU/view?usp=drivesdk
Chicken Masala,True,True,True,https://drive.google.com/file/d/1xWpyKOZh8gokcGCPy0SXSMJfhSew07t7/view?usp=drivesdk
Lemon Rice,True,True,True,https://drive.google.com/file/d/1FA9r4tknI6S56pTe10034xLU_w9fSoX5/view?usp=drivesdk
Chicken Oily Fry,True,True,True,https://drive.google.com/file/d/1A5oHyZEMs-sBKEIfjE7AjIWBEmjgxNTQ/view?usp=drivesdk
Plain Dal,True,True,True,https://drive.google.com/file/d/1PqS7t8kbGxKf8cy2hu9QumMwDqkIZCO6/view?usp=drivesdk
Chicken Paratha Chicken Pot Fried Rice,True,True,True,https://drive.google.com/file/d/1Y_CX98c-dEwtqfJ7Fdx8_9NDSrk898xY/view?usp=drivesdk
Egg Half Fry,True,True,True,https://drive.google.com/file/d/15dEgenrRI3YOHtQx1T64X78_p2TAJ_jd/view?usp=drivesdk
Chicken Kashmiri Kebab,True,True,True,https://drive.google.com/file/d/1BaGYsmb3Ln_op1ZpzqL8B3gTSiSqFgc1/view?usp=drivesdk
Cream of Mushroom Soup Chana Masala,True,True,True,https://drive.google.com/file/d/1weOX5U3sC-_1bDEtsH3GlBtYXVsSK-lY/view?usp=drivesdk
Chicken Tiranga Kebab,True,True,True,https://drive.google.com/file/d/1PGC-SGVHHi1NudlN6gX1yNn3S-V7pm8j/view?usp=drivesdk
Mutton Clear Soup Mutton Peshawari,True,True,True,https://drive.google.com/file/d/1T0sHtTI_G7sIV7hC0fX2wjrEohcJpkus/view?usp=drivesdk
Chicken Handi,True,True,True,https://drive.google.com/file/d/1z-qss4swY4PnnX583EX147DQI88YVAqI/view?usp=drivesdk
Chicken Jeera,True,True,True,https://drive.google.com/file/d/19Ei5TVI7YgV4Tvbzik6XxkIQjwKZIJSN/view?usp=drivesdk
Paneer Kolhapuri Chicken Tandoor Masala,True,True,True,https://drive.google.com/file/d/1KBWG90Hew-dUAyCEgamZPEbv0WabeYVK/view?usp=drivesdk
Aloo Matar,True,True,True,https://drive.google.com/file/d/1ccZdeKv91-e2uhfel8yCziRddJSdfmey/view?usp=drivesdk
Paneer Pulao,True,True,True,https://drive.google.com/file/d/1BXep5cFXOWzb82L7vGM5t2k1jAD3UEWZ/view?usp=drivesdk
Chicken Cheese Garlic Balls,True,True,True,https://drive.google.com/file/d/1LpTKhVSiwlmuM8BTbEB-KcRSBpuySdoU/view?usp=drivesdk
